Date,Description,Cheque No.,Debit,Credit,Balance,Value Date
23/05/18,IMPS/P2A/814300890675/XXXXXXXXXX1319/siddhi,,"35,000.00",-,"55,228.92",23/05/18
23/05/18,IMPS/P2A/814310910966/XXXXXXXXXX1319/siddhi,,"40,000.00",-,"15,228.92",23/05/18
23/05/18,IMPS/P2A/814312590216/XXXXXXXXXX1319/kalu,,"12,000.00",-,"3,228.92",23/05/18
23/05/18,IMPS/P2A/814312590216/XXXXXXXXXX1281/kalu,,-,"12,000.00","15,228.92",23/05/18
23/05/18,IMPS/P2A/814312930471/XXXXXXXXXX1319/kalu,,"12,000.00",-,"3,228.92",23/05/18
23/05/18,IMPS/P2A/814312930471/XXXXXXXXXX1281/kalu,,-,"12,000.00","15,228.92",23/05/18
23/05/18,IMPS/P2A/814312632183/XXXXXXXXXX1319/transf,,"12,000.00",-,"3,228.92",23/05/18
23/05/18,IMPS/P2A/814312632183/XXXXXXXXXX1281/transf,,-,"12,000.00","15,228.92",23/05/18
25/05/18,IMPS/P2A/814519585681/XXXXXXXXXX1319/-,,-,"5,000.00","20,228.92",25/05/18
25/05/18,IMPS/P2A/814519435542/XXXXXXXXXX1319/kalu,,"17,000.00",-,"3,228.92",25/05/18
28/05/18,IMPS/P2A/814611272047/XXXXXXXXXX1319/GST,,-,"13,086.00","16,314.92",26/05/18
28/05/18,ATM/CASH/292/XXXXXXXXXXXX1348,,"5,000.00",-,"11,314.92",26/05/18
28/05/18,MBK/814715948430/15:05:17/transfer,,500.00,-,"10,814.92",27/05/18
28/05/18,PRCR/SHOPPERS STOP LTD/JAIPUR,,"1,054.50",-,"9,760.42",27/05/18
28/05/18,PRCR/SHOPPERS STOP LTD/JAIPUR,,"1,058.00",-,"8,702.42",27/05/18
28/05/18,ATM/CASH/5583/XXXXXXXXXXXX1348,,"7,000.00",-,"1,702.42",27/05/18
01/06/18,IMPS/P2A/815211194583/XXXXXXXXXX1319/-,,-,"40,000.00","41,702.42",01/06/18
01/06/18,NEFT-BARBV18152745518-MAKHAN LAL AND,,"13,609.00",-,"28,093.42",01/06/18
01/06/18,IMPS/P2A/815221179571/XXXXXXXXXX1319/Hdfc,,"20,000.00",-,"8,093.42",01/06/18
08/06/18,eBanking : SIDDHI,,-,"50,000.00","58,093.42",08/06/18
08/06/18,NEFT-BARBY18159973773-MAKHAN LAL AND,,"16,198.00",-,"41,895.42",08/06/18
08/06/18,IMPS/P2A/815917701752/XXXXXXXXXX1319/Transf,,"30,000.00",-,"11,895.42",08/06/18
